id;x;y;z
268;490857.28;5739806.93;259.03
286;490861.22;5739802.6;257.79
160;490859.93;5739810.07;263.39
29;490853.03;5739817.65;263.39
300;490849.39;5739819.73;263.98
297;490845.45;5739825.96;266.44
141;490845.45;5739825.96;268.51
366;490842.31;5739829.4;268.11
304;490839.18;5739834.47;267.22
51;490837.1;5739836.36;267.31
155;490830.2;5739850.63;270.68
255;490827.58;5739867.56;265.77
120;490825.89;5739884.31;269.19
206;490821.4;5739894.75;267.9
73;490817.12;5739902.54;268.99
311;490816.08;5739908.54;268.13
96;490812.35;5739915.47;268.2
349;490809.6;5739919.15;268.93
333;490807.49;5739921.75;270.15
353;490803.86;5739923.3;277.28
235;490801.79;5739929.36;276.83
344;490792.74;5739937.57;276.08
372;490778.38;5739949.71;276.08
130;490776.02;5739954.82;276.13
215;490768.91;5739964.33;276.24
114;490761.48;5739976.58;278.51
188;490757.03;5739988.95;278.51
342;490747.87;5739992.04;278.84
119;490750.27;5740001.84;278.75
221;490737.86;5740012.71;281.07
360;490733.74;5740018.03;282.44
83;490730.74;5740019.99;285.9
328;490734.32;5740020.22;289.3
214;490731.83;5740024.56;295.94
183;490727.72;5740028.16;296.8
254;490729.43;5740031.97;299.02
0;490729.43;5740031.97;300.98
97;490731.24;5740032.44;301.59
149;490732.4;5740030.94;302.69
267;490733.36;5740031.58;303.07
266;490733.36;5740031.58;303.61
166;490730.88;5740032.4;304.36
52;490730.78;5740033.0;304.57
75;490730.78;5740033.0;307.59
322;490729.79;5740034.53;308.05
178;490728.78;5740034.97;308.78
225;490728.97;5740033.77;309.21
216;490728.97;5740033.77;310.4
98;490728.51;5740035.96;311.45
113;490728.63;5740041.43;311.88
87;490718.97;5740044.98;305.56
319;490711.11;5740048.19;303.99
106;490699.04;5740064.33;305.22
209;490687.04;5740075.22;305.37
135;490679.46;5740086.33;306.31
355;490672.97;5740094.12;303.78
202;490666.46;5740100.91;304.77
182;490662.93;5740101.75;305.02
7;490660.32;5740102.31;307.0
240;490649.19;5740117.2;309.61
236;490631.09;5740126.11;309.26
263;490622.24;5740140.4;315.05
59;490615.09;5740152.9;308.18
121;490605.97;5740161.45;313.23
331;490598.05;5740174.76;314.05
50;490587.25;5740186.84;316.18
245;490579.52;5740200.91;315.34
9;490573.77;5740216.9;315.93
170;490564.18;5740229.72;314.25
150;490550.06;5740241.88;315.55
43;490541.19;5740259.43;315.89
39;490528.78;5740270.31;318.95
136;490516.36;5740282.81;323.84
198;490509.61;5740287.58;323.77
239;490499.84;5740305.35;322.7
134;490488.39;5740309.11;324.29
365;490485.29;5740323.39;324.67
8;490472.91;5740328.95;328.95
173;490460.35;5740313.56;329.3
289;490462.43;5740312.82;328.13
337;490448.77;5740316.4;328.13
193;490446.5;5740317.2;328.68
99;490445.25;5740317.41;329.03
381;490445.25;5740317.41;330.14
175;490442.96;5740318.79;330.05
320;490441.92;5740320.55;328.56
63;490439.92;5740326.42;328.88
380;490436.13;5740330.89;328.63
23;490433.97;5740333.73;329.62
191;490428.02;5740343.32;330.8
226;490426.32;5740345.04;331.48
16;490421.48;5740356.02;331.16
45;490418.1;5740361.69;331.1
111;490413.19;5740367.38;330.05
241;490410.55;5740371.82;329.6
38;490407.19;5740377.03;331.03
186;490399.61;5740388.57;331.27
211;490394.09;5740396.24;330.36
290;490391.59;5740396.78;329.74
324;490388.4;5740402.25;330.19
31;490385.38;5740412.26;328.72
24;490381.67;5740417.9;328.72
232;490381.67;5740417.9;329.24
296;490379.42;5740422.76;330.33
375;490376.2;5740425.63;330.29
228;490375.76;5740427.61;330.57
70;490373.01;5740431.71;330.01
248;490370.91;5740435.37;332.35
49;490359.01;5740449.67;332.68
76;490349.98;5740462.91;333.24
57;490341.79;5740475.62;333.63
151;490335.67;5740479.64;333.38
48;490330.37;5740488.35;334.0
147;490323.96;5740493.97;333.33
364;490316.36;5740505.76;334.43
169;490304.39;5740521.77;335.13
88;490291.96;5740537.81;335.66
314;490282.18;5740555.6;335.31
126;490268.27;5740570.37;335.66
231;490262.13;5740580.67;335.66
192;490251.73;5740590.11;336.4
56;490247.12;5740598.17;337.87
58;490233.95;5740609.7;336.8
277;490225.76;5740620.65;336.44
253;490227.61;5740619.58;335.93
69;490235.84;5740637.46;332.45
373;490241.35;5740657.04;330.68
90;490233.08;5740668.93;332.58
325;490221.51;5740686.24;334.04
285;490208.06;5740701.28;341.19
2;490202.01;5740709.22;343.86
363;490199.38;5740719.98;339.82
109;490202.25;5740744.4;342.63
316;490199.01;5740750.06;346.31
107;490197.63;5740753.46;345.92
259;490196.09;5740757.11;346.48
72;490197.2;5740761.33;346.21
32;490197.2;5740761.33;347.41
30;490197.51;5740763.64;348.45
339;490202.01;5740771.53;347.97
347;490204.57;5740774.72;346.07
41;490205.62;5740777.67;346.85
233;490205.62;5740777.67;349.29
145;490203.24;5740782.96;349.95
361;490203.12;5740788.37;351.15
65;490204.34;5740792.45;352.7
179;490203.99;5740803.86;349.32
10;490194.76;5740821.0;346.58
14;490183.65;5740837.92;349.79
212;490175.75;5740848.68;349.44
378;490169.84;5740849.17;350.7
164;490166.33;5740850.94;349.19
302;490162.42;5740848.56;346.65
295;490165.98;5740849.77;349.24
323;490156.62;5740845.36;341.15
25;490151.83;5740842.99;337.68
377;490139.97;5740853.94;336.84
153;490133.42;5740872.67;337.7
345;490128.05;5740880.39;338.78
195;490121.32;5740898.62;338.1
371;490120.3;5740919.43;339.01
6;490106.44;5740934.67;340.45
112;490096.89;5740941.54;341.79
86;490089.42;5740952.08;342.01
125;490074.93;5740955.63;342.01
326;490089.89;5740955.32;342.19
104;490056.48;5740972.66;341.79
190;490044.0;5740983.79;342.09
26;490034.04;5740995.53;342.36
115;490018.35;5740997.66;343.19
11;490003.6;5741007.88;343.03
146;489992.17;5741004.31;344.71
262;489987.97;5741009.26;346.45
36;489979.31;5741022.46;346.04
217;489975.04;5741027.49;346.85
227;489970.46;5741034.88;347.38
243;489968.43;5741037.11;347.09
362;489966.67;5741040.25;345.56
74;489962.81;5741044.97;346.42
379;489959.8;5741056.01;346.12
93;489956.83;5741064.03;344.91
61;489959.22;5741069.21;344.91
81;489944.88;5741088.03;346.15
237;489945.7;5741099.18;347.33
269;489941.45;5741099.31;349.09
110;489937.36;5741105.1;349.59
89;489934.34;5741111.78;350.62
335;489933.43;5741116.37;349.49
278;489931.5;5741119.32;347.46
329;489926.69;5741129.5;347.36
159;489923.49;5741134.78;346.55
194;489920.95;5741144.06;348.08
128;489916.16;5741155.2;348.39
116;489908.99;5741163.95;351.42
368;489903.74;5741178.17;349.43
123;489893.52;5741194.34;351.44
308;489890.33;5741208.98;350.13
258;489872.86;5741221.08;351.61
54;489863.14;5741231.22;351.25
313;489865.83;5741248.76;354.53
303;489853.08;5741262.78;354.37
246;489837.73;5741282.21;356.54
357;489825.33;5741301.84;357.14
77;489812.67;5741323.09;358.87
332;489812.0;5741339.87;359.31
108;489815.86;5741316.92;357.08
298;489800.12;5741366.22;363.12
383;489794.13;5741388.13;363.32
309;489786.32;5741398.58;366.09
213;489779.28;5741409.71;366.55
37;489778.47;5741412.69;368.19
143;489788.9;5741418.9;369.47
84;489797.15;5741425.67;368.34
129;489801.75;5741428.24;370.0
219;489812.67;5741319.72;359.34
33;489806.74;5741326.96;359.25
343;489799.02;5741335.15;359.85
340;489799.99;5741339.29;359.99
71;489799.76;5741345.23;360.67
204;489795.11;5741351.34;361.54
283;490090.67;5740956.61;342.36
251;490090.68;5740961.33;343.8
60;490089.35;5740962.15;343.83
352;490089.19;5740963.84;343.77
199;490087.83;5740966.13;343.98
85;490084.87;5740968.06;344.13
137;490085.82;5740970.78;344.23
334;490081.77;5740973.47;344.49
359;490079.38;5740978.21;345.71
376;490078.37;5740980.13;345.71
154;490502.1;5739527.08;219.87
321;490506.22;5739522.96;219.49
180;490496.72;5739522.47;220.61
382;490497.52;5739527.65;219.85
367;490504.83;5739531.58;220.52
301;490491.55;5739528.45;220.37
200;490491.54;5739528.46;220.36
94;490494.0;5739525.5;220.05
66;490491.54;5739528.46;219.16
22;490503.26;5739536.48;221.33
172;490490.49;5739533.93;216.96
148;490483.38;5739542.04;219.16
218;490482.7;5739542.82;219.76
207;490482.92;5739543.58;219.16
338;490484.73;5739549.83;219.16
256;490489.49;5739550.27;222.63
310;490490.22;5739556.48;225.55
139;490493.6;5739549.03;223.55
174;490488.49;5739557.0;225.45
13;490487.52;5739557.66;224.92
197;490486.09;5739558.09;224.82
274;490484.79;5739559.47;226.14
220;490472.44;5739561.37;225.92
238;490466.78;5739563.28;225.4
210;490462.09;5739571.31;225.56
102;490447.46;5739575.42;225.29
369;490435.37;5739584.77;224.49
17;490430.82;5739582.72;224.49
293;490425.38;5739587.4;225.0
176;490416.18;5739599.48;225.79
168;490427.94;5739581.98;224.89
68;490408.83;5739612.06;226.56
131;490401.27;5739622.74;227.24
279;490396.3;5739631.98;227.42
34;490382.41;5739638.38;227.69
35;490378.47;5739639.06;227.97
260;490374.95;5739645.9;228.1
161;490372.67;5739647.53;228.1
44;490374.52;5739651.06;228.31
224;490378.46;5739650.4;228.59
312;490383.05;5739650.58;228.83
264;490375.56;5739653.88;229.81
91;490388.26;5739648.81;229.03
42;490390.73;5739648.53;229.29
272;490399.72;5739645.99;230.27
299;490408.18;5739646.63;230.71
167;490418.82;5739643.83;230.91
306;490418.52;5739651.62;231.18
280;490415.57;5739656.67;232.0
78;490416.11;5739661.33;232.16
292;490414.12;5739661.25;232.34
55;490412.46;5739666.98;232.97
138;490413.89;5739668.78;233.05
275;490421.61;5739666.0;233.19
132;490407.76;5739675.76;233.21
47;490497.78;5739546.65;223.71
3;490432.56;5739575.45;224.75
318;490434.27;5739571.83;224.68
288;490379.17;5739658.82;228.79
203;490382.67;5739659.24;229.47
257;490383.54;5739660.71;230.86
229;490380.94;5739667.21;230.98
189;490381.37;5739670.18;231.08
291;490386.59;5739670.89;229.52
103;490390.28;5739669.07;231.1
244;490393.28;5739668.72;231.97
222;490392.54;5739675.04;232.64
28;490389.84;5739676.95;232.84
140;490389.08;5739681.37;232.99
242;490384.81;5739690.4;234.57
284;490382.07;5739692.98;234.11
5;490383.81;5739694.9;234.16
