id;x;y;z
0;322974.39;5094882.63;2235.78
4;322985.57;5094885.35;2263.82
11;322895.82;5094854.7;2289.73
15;322968.97;5094876.43;2284.22
16;322973.64;5094900.91;2140.17
18;322926.19;5094883.64;2216.31
21;322988.3;5094888.33;2224.41
22;322964.16;5094905.62;2161.51
24;322985.62;5094889.12;2209.63
27;322976.08;5094889.98;2230.49
28;322978.68;5094881.91;2224.44
30;322904.79;5094858.2;2289.1
31;322981.7;5094886.81;2253.58
35;322938.67;5094882.67;2216.72
36;322979.41;5094913.51;2053.13
37;322923.73;5094882.91;2214.36
42;322975.51;5094891.32;2213.52
43;322991.28;5094890.11;2254.89
45;322962.35;5094887.68;2217.88
49;322978.85;5094883.51;2264.06
50;322983.47;5094894.4;2215.07
56;322974.39;5094882.64;2235.77
58;322985.23;5094909.97;2073.84
59;322974.44;5094889.0;2216.1
65;322977.26;5094915.44;2048.45
67;322963.09;5094905.94;2164.74
68;322964.07;5094930.26;2017.97
73;322933.32;5094887.75;2203.64
76;322937.04;5094910.27;2201.47
80;322897.57;5094854.07;2293.72
83;322977.2;5094901.85;2113.26
84;322945.34;5094867.98;2285.28
85;322961.98;5094910.21;2164.54
95;322960.5;5094873.52;2283.2
97;322931.91;5094862.39;2287.55
100;322928.49;5094882.72;2217.05
103;322987.24;5094909.69;2084.16
105;322938.61;5094902.89;2165.33
107;322980.51;5094885.06;2259.07
109;322972.99;5094890.91;2213.04
111;322974.44;5094889.0;2216.11
112;322965.02;5094906.73;2156.47
115;322941.64;5094911.33;2166.04
118;322986.86;5094909.38;2074.17
119;322983.47;5094894.4;2215.06
121;322978.16;5094889.45;2211.46
124;322918.25;5094861.12;2289.43
135;322932.95;5094883.37;2217.17
137;322942.98;5094913.01;2177.47
143;322937.08;5094910.68;2166.37
144;322975.35;5094900.85;2163.9
145;322976.65;5094880.7;2275.03
151;322946.77;5094912.46;2165.52
160;322951.88;5094885.42;2218.18
164;322944.3;5094883.88;2216.86
173;322939.07;5094865.81;2284.8
181;322939.04;5094913.88;2186.33
182;322920.82;5094856.89;2294.21
184;322898.0;5094854.0;2300.0
185;322976.39;5094882.01;2272.86
189;322959.16;5094913.37;2165.06
199;322933.83;5094884.05;2215.48
205;322935.04;5094904.77;2202.82
210;322935.83;5094901.04;2202.86
211;322963.95;5094905.9;2164.38
212;322969.59;5094902.91;2138.02
217;322891.38;5094854.97;2289.05
218;322985.15;5094893.63;2218.45
219;322961.09;5094912.64;2164.72
220;322937.83;5094911.46;2175.64
224;322967.64;5094889.4;2216.32
227;322934.11;5094863.18;2287.5
229;322980.82;5094885.84;2258.96
230;322990.53;5094891.56;2225.2
238;322993.06;5094889.9;2226.08
241;322933.59;5094858.64;2286.82
242;322977.76;5094919.24;2049.28
249;322937.8;5094884.8;2216.6
251;322965.45;5094888.9;2216.8
255;322987.75;5094892.85;2234.02
256;322935.41;5094883.99;2216.33
263;322964.66;5094874.42;2285.97
268;322969.46;5094877.47;2284.61
275;322976.41;5094883.76;2259.06
276;322976.54;5094901.99;2122.44
277;322975.08;5094883.2;2244.39
281;322963.16;5094907.6;2165.38
282;322962.22;5094908.06;2165.04
283;322979.63;5094906.61;2092.44
290;322967.25;5094904.46;2162.33
305;322987.17;5094888.86;2254.12
316;322970.99;5094889.44;2213.79
319;322953.37;5094870.29;2284.85
323;322948.85;5094911.58;2165.22
324;322934.05;5094898.94;2202.57
329;322980.94;5094884.42;2264.21
334;322975.71;5094888.17;2224.54
338;322932.61;5094893.03;2202.65
339;322980.01;5094892.81;2217.56
353;322938.34;5094912.63;2200.43
355;322976.41;5094883.76;2259.05
357;322930.88;5094888.97;2204.27
358;322971.46;5094878.17;2283.56
359;322960.2;5094933.36;2003.81
362;322970.51;5094890.46;2212.68
363;322983.73;5094908.97;2085.79
364;322990.12;5094889.86;2240.79
370;322974.62;5094887.02;2216.2
372;322970.22;5094876.96;2283.82
373;322987.49;5094894.05;2218.87
377;322931.53;5094884.71;2214.76
380;322909.38;5094858.7;2290.43
381;322953.16;5094912.2;2164.62
382;322948.56;5094869.06;2284.24
385;322974.15;5094883.63;2243.34
388;322946.95;5094884.17;2218.64
390;322930.44;5094883.45;2217.39
391;322934.1;5094882.43;2213.58
