id;x;y;z
938;703415.75;4986681.42;1844.37
4037;703413.6;4986680.41;1845.83
2143;703413.45;4986682.5;1846.08
3866;703407.98;4986681.51;1845.7
1448;703400.48;4986682.63;1840.86
2297;703388.22;4986687.69;1834.19
4219;703378.2;4986685.34;1827.6
20;703375.49;4986687.32;1827.37
1082;703373.71;4986688.28;1828.06
4155;703370.36;4986690.32;1829.9
2913;703362.98;4986694.67;1825.67
4121;703353.29;4986693.14;1820.15
1081;703350.57;4986689.47;1816.67
3573;703347.12;4986688.62;1816.44
2677;703349.46;4986685.4;1814.65
900;703340.53;4986685.71;1813.69
3506;703335.91;4986686.61;1813.27
943;703344.84;4986685.95;1811.35
384;703332.89;4986685.73;1807.15
1115;703327.94;4986683.16;1807.45
719;703339.44;4986686.23;1809.15
2311;703327.98;4986683.88;1807.71
410;703321.0;4986681.82;1807.59
167;703313.97;4986678.52;1806.49
2674;703313.29;4986675.77;1806.24
4084;703306.84;4986672.49;1806.47
2132;703311.06;4986674.91;1814.62
2079;703303.03;4986670.19;1804.05
3209;703299.43;4986668.24;1802.45
2764;703298.0;4986668.35;1801.41
1750;703297.82;4986667.05;1802.14
3167;703296.7;4986667.96;1803.58
4220;703295.05;4986667.73;1803.63
1995;703291.7;4986669.43;1801.31
608;703286.46;4986663.61;1804.9
2896;703282.33;4986664.12;1806.68
2435;703288.37;4986661.49;1804.94
895;703274.02;4986661.8;1803.99
1753;703270.56;4986662.33;1803.31
2366;703278.49;4986659.7;1804.8
3259;703268.15;4986661.8;1803.13
2592;703267.2;4986659.99;1803.29
876;703266.16;4986659.17;1803.46
3295;703266.14;4986657.63;1802.82
1343;703263.96;4986656.83;1802.82
1421;703261.15;4986656.64;1802.36
2719;703265.04;4986659.75;1814.44
2398;703259.06;4986655.87;1801.9
3589;703255.7;4986656.75;1800.86
1271;703253.57;4986656.19;1801.28
3003;703250.25;4986657.14;1801.59
146;703250.64;4986657.81;1802.14
2964;703247.22;4986657.56;1801.23
2517;703243.91;4986659.02;1789.74
2294;703241.31;4986656.13;1778.94
128;703235.94;4986657.49;1775.62
1252;703232.59;4986655.98;1775.07
1175;703232.82;4986655.22;1775.19
3905;703226.85;4986653.62;1772.31
1270;703226.67;4986651.26;1773.23
2255;703221.09;4986652.43;1771.13
2298;703214.27;4986652.53;1769.91
1532;703210.4;4986652.99;1770.17
342;703210.33;4986653.81;1768.99
3519;703208.51;4986654.29;1768.85
1372;703207.6;4986655.01;1768.93
46;703204.68;4986656.92;1768.82
3086;703202.97;4986657.52;1769.3
1480;703201.25;4986659.74;1768.98
1439;703201.38;4986660.27;1768.49
13;703199.82;4986661.33;1768.27
3726;703196.44;4986660.24;1767.3
3711;703192.12;4986659.97;1767.98
195;703188.68;4986659.36;1768.83
1849;703189.06;4986659.56;1769.53
3784;703188.32;4986663.39;1768.07
3735;703186.56;4986665.39;1767.52
3839;703184.96;4986666.16;1767.25
889;703186.25;4986668.64;1766.96
3942;703186.93;4986671.7;1766.73
98;703184.6;4986675.66;1765.59
1632;703181.84;4986677.74;1764.77
1030;703183.16;4986680.5;1764.7
670;703178.63;4986682.29;1762.47
1577;703174.92;4986682.24;1761.23
703;703175.32;4986686.59;1761.34
1450;703174.74;4986688.59;1760.97
1318;703172.79;4986690.47;1759.61
3035;703168.9;4986690.14;1759.04
2373;703168.62;4986690.97;1758.09
3114;703167.47;4986692.06;1758.19
2069;703165.11;4986693.06;1760.41
3941;703163.73;4986693.16;1761.52
142;703163.13;4986695.91;1761.16
429;703161.67;4986699.17;1760.9
2900;703159.82;4986699.16;1760.36
596;703158.72;4986701.58;1760.35
2191;703158.57;4986701.07;1759.77
932;703148.34;4986697.0;1759.56
2110;703144.26;4986697.16;1759.76
490;703149.64;4986701.04;1768.8
693;703139.57;4986695.72;1758.17
1591;703136.19;4986695.2;1758.87
2386;703133.41;4986694.87;1759.08
4036;703129.14;4986684.07;1769.51
1341;703134.66;4986700.52;1759.0
724;703121.65;4986685.72;1754.44
3876;703118.92;4986672.89;1742.85
2486;703111.88;4986661.56;1754.44
3131;703102.07;4986649.35;1742.85
4233;703096.91;4986636.02;1755.6
460;703091.91;4986631.49;1766.03
2883;703069.59;4986625.16;1766.03
2734;703098.54;4986615.02;1812.4
3734;703046.07;4986626.92;1766.03
3161;703041.57;4986630.9;1766.03
1949;703013.21;4986624.9;1766.03
3441;703000.42;4986630.87;1766.03
2440;702994.02;4986631.18;1766.03
4045;702993.43;4986635.05;1766.03
1843;702983.68;4986643.68;1766.03
365;702970.8;4986639.7;1766.03
1826;702957.1;4986660.85;1766.03
587;702953.68;4986652.84;1766.03
2045;702932.51;4986656.86;1766.03
1441;702917.22;4986651.67;1766.03
1970;702903.56;4986677.79;1766.03
52;702890.94;4986686.96;1766.03
2243;702892.34;4986693.07;1766.03
3932;702887.49;4986702.71;1766.03
3935;702865.54;4986679.01;1766.03
419;702876.73;4986664.09;1766.03
165;702882.13;4986639.59;1766.03
303;702887.25;4986637.06;1766.03
1636;702885.1;4986631.62;1766.03
3620;702897.1;4986615.32;1766.03
571;702897.9;4986602.25;1766.03
4004;702913.52;4986590.43;1766.03
1924;702887.02;4986623.58;1766.03
1803;702911.58;4986598.83;1766.03
1057;702909.96;4986573.19;1766.03
207;702914.93;4986602.23;1766.03
1766;702926.94;4986602.96;1766.03
212;702941.32;4986611.29;1766.03
2531;702947.34;4986611.66;1766.03
2995;702945.28;4986627.85;1766.03
811;702952.93;4986618.74;1766.03
3238;702955.31;4986632.01;1766.03
122;702956.65;4986644.86;1766.03
2369;702943.18;4986639.07;1766.03
3919;702908.44;4986528.4;1766.03
1740;702915.1;4986512.14;1766.03
881;702916.5;4986495.2;1766.03
2430;702939.33;4986510.43;1766.03
1511;702914.16;4986481.22;1766.03
3756;702938.38;4986491.21;1766.03
3212;702921.05;4986478.8;1766.03
3829;702922.8;4986467.57;1766.03
2971;702943.34;4986468.11;1766.03
3268;702947.49;4986464.1;1766.03
351;702960.48;4986466.31;1766.03
1549;702967.93;4986472.09;1766.03
1;702953.85;4986487.54;1766.03
2030;702950.76;4986503.33;1766.03
988;702967.34;4986499.02;1766.03
1566;702890.23;4986634.77;1766.03
1870;702886.57;4986648.38;1766.03
4157;702895.17;4986658.48;1766.03
0;702891.86;4986666.08;1766.03
2445;702905.92;4986685.74;1766.03
4227;702921.13;4986686.32;1766.03
1987;702926.58;4986695.87;1766.03
1676;702922.36;4986706.97;1766.03
1668;702934.55;4986710.55;1766.03
4192;703114.28;4986622.31;1852.98
1324;703143.91;4986638.19;1941.09
3523;703119.47;4986612.07;1873.84
735;703163.37;4986636.21;1957.32
454;703175.07;4986640.44;1968.91
717;703107.23;4986593.73;1886.59
2717;703110.36;4986588.65;1912.1
82;703133.53;4986589.36;1988.6
1546;703143.92;4986563.26;2002.51
1018;703136.06;4986530.77;1994.4
2586;703135.44;4986702.75;1760.23
2998;703138.58;4986704.61;1761.46
2224;703135.17;4986703.68;1760.54
856;703139.12;4986707.05;1761.91
2604;703136.82;4986707.47;1762.14
3770;703136.76;4986708.52;1761.74
1839;703135.84;4986708.81;1761.81
691;703135.35;4986710.52;1760.35
478;703131.75;4986709.33;1760.61
2529;703131.52;4986711.31;1762.43
1436;703132.38;4986712.16;1762.01
3969;703131.99;4986713.29;1761.45
1700;703129.93;4986713.72;1762.29
1963;703129.12;4986713.7;1762.72
3085;703129.37;4986713.42;1764.2
4255;703123.33;4986714.71;1764.15
1251;703123.24;4986714.5;1764.4
547;703120.84;4986714.74;1763.94
1909;703119.28;4986717.55;1765.02
3350;703120.04;4986720.01;1764.87
1678;703118.41;4986719.44;1764.1
2215;703118.18;4986720.29;1763.02
1673;703114.16;4986720.66;1762.19
613;703113.88;4986720.1;1761.06
2;703111.69;4986720.33;1761.93
877;703113.67;4986720.19;1756.94
3710;703113.12;4986722.21;1755.45
3276;703113.9;4986721.35;1752.78
1677;703114.28;4986725.21;1743.28
1247;703116.57;4986724.4;1742.08
1523;703116.95;4986727.04;1716.8
3241;703117.73;4986726.14;1701.41
3791;703118.62;4986727.21;1701.76
3682;703115.1;4986727.31;1701.72
861;703109.13;4986727.23;1700.22
3947;703101.81;4986725.97;1697.28
2062;703094.9;4986724.04;1697.17
2461;703088.87;4986730.98;1700.16
1172;703096.05;4986735.53;1696.48
701;703083.27;4986739.53;1678.48
3378;703066.6;4986748.24;1669.35
3126;703065.78;4986749.38;1623.13
346;703063.13;4986759.37;1620.45
2391;703052.55;4986772.99;1619.89
2096;703048.33;4986773.03;1616.29
4195;703030.66;4986779.58;1613.86
2682;703023.74;4986783.3;1613.73
3836;702984.6;4986805.98;1600.29
591;702945.25;4986833.34;1591.64
2642;702942.21;4986831.32;1586.64
1292;702922.37;4986846.08;1581.26
3289;702925.9;4986860.35;1578.75
274;702930.11;4986885.61;1577.21
3411;702919.83;4986892.56;1578.32
352;702919.44;4986899.54;1578.91
867;702923.04;4986904.99;1575.64
3060;702919.03;4986913.84;1571.92
3364;702917.44;4986923.57;1570.32
3563;702921.64;4986930.83;1569.12
4047;702927.26;4986938.15;1568.95
1693;702919.96;4986949.22;1565.79
1720;702937.98;4986963.94;1560.22
1630;702946.74;4986972.08;1556.78
1595;702948.24;4986977.05;1550.7
2802;702947.06;4986985.71;1555.1
845;702950.68;4986990.81;1556.77
104;702957.2;4986994.95;1564.7
1701;702958.59;4986990.02;1565.68
4215;702967.37;4986985.82;1568.31
445;702971.84;4986972.54;1570.05
1821;702970.11;4986966.7;1572.77
3430;702972.25;4986956.14;1574.66
1398;702965.51;4986946.37;1580.01
2121;702964.53;4986939.87;1576.38
2628;702957.04;4986936.35;1588.16
3125;702961.77;4986935.41;1600.71
2858;702962.04;4986932.99;1619.96
1624;702958.26;4986932.58;1633.92
3280;702942.71;4986934.63;1647.49
2643;702936.98;4986918.01;1669.07
555;702947.97;4986898.63;1669.6
2105;702945.17;4986888.65;1656.35
924;702964.73;4986892.67;1657.76
3915;702953.04;4986884.63;1696.25
377;702984.31;4986873.35;1649.67
2662;702962.75;4986882.56;1702.02
468;702974.72;4986880.69;1720.34
3155;702987.39;4986883.89;1733.7
4115;702977.0;4986875.6;1737.59
783;702987.46;4986872.53;1736.65
3541;702990.94;4986874.05;1745.7
2324;702993.82;4986868.12;1750.51
2428;703008.38;4986864.56;1767.65
451;703010.55;4986858.59;1771.76
3889;703012.18;4986861.74;1783.27
694;703012.37;4986864.52;1779.69
1940;703013.06;4986868.63;1753.91
2876;703023.23;4986876.83;1752.53
2902;703026.54;4986877.21;1712.35
625;703019.08;4986884.38;1707.55
4159;703019.58;4986888.24;1706.8
2965;703014.65;4986894.22;1707.02
2539;703002.59;4986895.02;1698.27
777;703021.74;4986905.23;1706.63
1739;702997.1;4986874.87;1701.09
489;702987.93;4986903.85;1687.8
1425;703008.67;4986864.97;1693.7
140;703007.91;4986854.31;1685.27
3242;703006.46;4986843.26;1680.69
2187;703008.7;4986835.62;1675.42
2051;703001.16;4986831.62;1672.61
3881;702996.39;4986834.52;1664.87
1927;702994.71;4986833.0;1648.7
2012;702977.09;4986931.6;1683.8
3267;702969.09;4986929.4;1678.2
3349;702962.49;4986910.66;1681.82
1090;702898.97;4986935.14;1663.96
860;702892.33;4987002.54;1649.27
214;702867.98;4987070.9;1636.84
1501;702877.29;4987092.84;1626.78
172;702885.74;4987093.79;1615.91
1884;702886.6;4987103.07;1614.18
4092;702900.32;4987104.38;1612.12
2036;702901.67;4987111.21;1610.73
2899;702913.2;4987102.46;1606.91
3331;702922.93;4987105.24;1606.59
264;702925.13;4987115.66;1606.27
270;702939.88;4987117.76;1605.97
227;702943.76;4987129.71;1603.91
312;702993.59;4987137.78;1610.16
1047;702963.96;4987148.0;1620.7
3127;703021.67;4987142.13;1598.4
321;702969.79;4987162.5;1625.28
280;702942.96;4987155.91;1670.28
1781;702930.29;4987160.79;1659.73
