id;x;y;z
1619;419542.25;5455325.31;1398.85
202;419533.37;5455334.81;1394.42
1003;419532.46;5455336.32;1392.51
915;419533.84;5455332.94;1392.95
332;417739.2;5455568.79;1260.0
548;417742.66;5455570.47;1258.08
1661;417748.88;5455572.8;1256.15
780;417753.97;5455574.65;1254.23
1640;417758.56;5455576.99;1252.3
1137;417763.16;5455579.0;1250.37
1075;417767.59;5455581.5;1248.44
1461;417774.14;5455584.48;1246.51
874;417780.51;5455586.49;1244.59
87;417785.27;5455588.82;1242.66
15;417790.67;5455591.8;1240.73
1160;417794.14;5455593.66;1238.8
377;417799.54;5455597.13;1236.87
1077;417802.68;5455600.76;1234.95
514;417805.98;5455605.21;1233.02
966;417811.71;5455609.49;1231.09
236;417814.53;5455612.96;1229.16
1330;417819.12;5455615.62;1227.23
1656;417822.91;5455619.43;1225.3
1254;417829.28;5455621.6;1223.38
539;417833.39;5455623.93;1221.45
179;417840.09;5455628.54;1219.52
80;417846.15;5455629.9;1217.59
1437;417850.9;5455631.26;1215.66
446;417849.99;5455634.73;1213.74
1659;417849.73;5455637.56;1211.81
280;417850.43;5455641.36;1209.88
230;417851.63;5455645.48;1207.95
892;417852.98;5455649.44;1206.02
358;417855.15;5455653.89;1204.1
1032;417856.98;5455658.17;1202.17
1652;417858.82;5455662.29;1200.24
824;417861.46;5455666.58;1198.31
478;417862.82;5455670.38;1196.38
1056;417864.98;5455674.01;1194.46
1011;417865.69;5455678.78;1192.53
1633;417867.36;5455683.55;1190.6
475;417869.04;5455688.32;1188.67
338;417866.83;5455690.17;1186.74
1402;417864.45;5455688.29;1184.82
766;417861.43;5455686.24;1182.89
1599;417860.34;5455688.25;1181.11
1301;417861.05;5455691.07;1179.33
1620;417862.72;5455694.22;1177.55
1111;417864.24;5455698.02;1175.78
1183;417866.88;5455702.3;1174.0
289;417867.26;5455705.94;1172.22
1431;417865.04;5455709.25;1170.44
1493;417861.86;5455710.12;1168.66
943;417856.24;5455710.5;1166.88
1162;417857.75;5455713.32;1166.62
1202;417860.08;5455716.63;1166.35
821;417861.43;5455719.29;1166.08
30;417860.68;5455722.45;1165.81
122;417857.97;5455724.46;1165.54
1040;417855.92;5455722.08;1165.28
1607;417852.4;5455719.87;1165.01
1329;417850.84;5455721.88;1164.74
900;417846.19;5455722.26;1164.47
587;417842.68;5455722.48;1164.2
834;417839.01;5455724.82;1163.94
1830;417838.09;5455720.66;1164.82
1728;417834.42;5455718.93;1165.83
419;417831.71;5455718.67;1166.84
930;417831.28;5455722.14;1167.85
97;417830.52;5455725.94;1168.87
869;417829.77;5455728.92;1169.88
1;417829.5;5455732.4;1170.89
1134;417828.91;5455736.36;1171.9
337;417828.15;5455739.34;1172.91
447;417825.94;5455739.56;1173.93
150;417822.75;5455738.0;1174.94
1292;417820.54;5455737.09;1175.95
423;417818.33;5455737.15;1176.96
1186;417814.81;5455739.66;1172.13
828;417814.22;5455742.81;1167.3
671;417814.43;5455746.44;1162.48
361;417813.03;5455750.56;1157.65
50;417809.84;5455752.08;1152.82
206;417806.49;5455754.09;1147.99
1557;417803.95;5455749.28;1147.42
986;417800.6;5455744.8;1146.94
168;417798.38;5455741.29;1146.45
532;417792.93;5455735.18;1145.96
754;417787.31;5455729.07;1145.47
356;417782.66;5455722.8;1144.98
1346;417779.15;5455719.94;1144.5
689;417774.34;5455719.03;1144.01
1529;417769.7;5455718.13;1143.52
811;417765.05;5455718.35;1143.03
203;417759.43;5455718.09;1142.54
936;417755.59;5455716.53;1142.06
392;417751.76;5455717.08;1141.57
160;417748.4;5455717.95;1141.08
279;417744.08;5455718.66;1140.59
640;417739.44;5455720.84;1140.1
1676;417739.0;5455725.61;1139.62
1649;417738.41;5455729.41;1139.13
565;417738.3;5455733.37;1138.64
749;417739.5;5455737.0;1138.15
1626;417740.85;5455742.26;1137.66
1479;417742.69;5455745.89;1137.18
1387;417745.98;5455748.72;1136.69
1331;417751.07;5455753.65;1136.2
1223;417753.07;5455756.47;1135.71
1092;417756.37;5455760.59;1135.22
1212;417761.12;5455763.41;1134.73
928;417764.75;5455767.69;1134.25
53;417766.59;5455772.79;1133.76
1386;417767.29;5455776.76;1133.27
1606;417763.94;5455778.28;1132.78
875;417763.99;5455780.94;1132.29
382;417765.35;5455785.55;1131.81
756;417766.86;5455789.18;1131.32
890;417768.54;5455793.79;1130.83
580;417770.7;5455798.89;1130.34
1208;417772.38;5455803.02;1129.85
1574;417775.67;5455808.76;1129.37
1817;417777.35;5455813.69;1128.88
