id;cswidth;csheight
81957;0.6;0.97
65595;1.13;3.97
73851;0.3;2.59
41104;0.08;0.61
90264;0.08;1.32
33010;4.83;3.77
8516;0.1;0.9
98720;0.72;0.72
74185;0.31;1.85
8691;5.31;2.24
41463;0.21;2.12
33273;0.27;2.14
82459;0.07;1.77
8801;0.1;3.21
17006;1.3;3.84
74371;1.65;3.32
90849;1.12;1.69
25482;0.45;2.5
74877;0.09;1.24
58494;0.87;2.18
1150;0.09;0.57
9364;2.39;2.52
42171;3.7;1.5
17658;2.22;1.31
75018;0.3;0.93
42313;0.14;1.67
34171;0.77;1.24
66945;0.22;2.94
50620;0.1;1.17
1551;0.17;1.05
17959;0.42;1.3
91694;0.19;1.51
26158;1.89;2.09
50918;0.28;3.77
18253;3.37;1.09
42840;3.92;4.01
83900;0.05;2.01
59349;0.23;1.29
26618;0.28;1.42
100401;0.11;1.54
2163;1.39;0.98
67700;7.91;14.58
100482;3.69;11.8
75921;0.84;1.92
92323;0.4;1.68
43267;0.28;1.39
26904;0.59;3.65
35148;1.62;1.97
10611;1.59;1.59
10616;0.1;0.61
27004;0.96;12.82
76167;4.0;3.0
51616;0.47;1.46
92600;0.27;1.23
43467;3.43;3.62
59875;2.01;4.32
19084;0.56;2.7
84671;0.16;1.38
101084;0.15;1.37
101143;1.06;1.85
60209;2.88;3.62
2965;0.41;1.5
68518;0.15;0.88
44017;0.07;1.79
44041;2.52;2.07
76824;0.85;2.89
27773;0.26;1.93
19625;0.24;1.43
101652;1.89;1.87
3382;0.3;1.29
68950;4.29;4.29
11608;0.24;2.35
101759;0.16;1.79
36235;0.13;1.74
77291;0.27;1.92
52716;2.06;1.46
60929;5.47;5.47
52760;0.23;1.94
19997;0.24;1.98
77367;5.36;5.75
44602;0.69;1.5
3808;0.28;2.46
36674;0.12;1.33
44883;0.37;2.94
69513;8.45;1.57
28600;0.12;1.32
94209;0.22;1.72
102417;1.28;4.34
45093;0.49;1.32
36979;0.2;1.19
69766;3.92;0.43
4289;0.84;3.32
61678;12.47;1.46
69875;0.18;0.61
20766;3.99;1.91
12575;0.57;0.62
86385;1.29;1.42
61812;0.14;2.82
4504;10.58;3.23
29161;0.05;1.25
21019;0.46;2.32
102942;1.38;1.54
45696;8.85;9.94
103164;1.57;1.19
37654;0.47;0.89
54063;0.17;2.13
37691;0.06;2.24
4923;0.14;3.11
70460;3.26;2.82
78658;0.28;2.23
45896;0.31;1.55
70553;0.14;1.08
21405;11.99;4.84
29619;0.27;1.06
46007;0.2;2.34
86990;0.74;1.16
29709;0.33;2.1
78908;0.09;2.09
70720;0.41;0.38
95356;3.99;1.91
79012;1.42;1.86
79095;0.67;0.9
70919;0.57;2.65
95539;8.06;3.4
95573;0.43;2.76
46526;4.47;8.9
95679;0.87;1.2
103878;2.31;12.78
38375;7.26;9.65
62974;0.34;0.67
46710;0.58;1.53
46791;0.18;1.01
55018;2.64;2.41
14073;0.3;1.41
5955;0.53;2.03
14164;0.22;1.22
6014;3.06;4.24
14241;1.84;1.84
96168;0.34;1.94
14253;0.08;1.38
47051;4.1;1.18
96206;0.09;1.5
6144;1.12;0.7
104482;3.16;1.75
63538;3.89;1.93
63543;0.14;2.02
6306;0.05;1.33
14528;0.17;1.46
39138;0.11;1.49
104770;4.9;2.05
63919;0.71;1.19
55802;7.86;4.58
31238;0.47;2.69
96780;3.24;1.28
88592;0.71;2.2
23070;5330.82;4862.29
47678;0.52;2.24
88640;1.37;4.05
47681;0.47;0.83
47810;0.4;2.65
64222;15.06;8.31
64369;11.2;7.24
31630;0.78;3.84
31635;0.35;1.29
56241;0.48;1.1
72666;0.31;1.09
72683;1.22;6.32
97269;0.7;0.7
56317;1.69;0.54
15358;0.12;1.19
105548;0.4;1.59
72806;0.45;2.43
81000;0.47;3.35
23674;0.12;1.24
40167;3.17;5.0
48493;0.35;2.84
23944;2.19;2.63
32141;0.22;2.04
81349;0.17;1.22
89592;7.43;4.57
73300;0.16;1.96
65110;2.17;1.15
40772;1.29;1.38
16371;0.14;2.09
90103;0.13;1.76
73725;0.06;0.56
